Country,BCA,BCA_NGDPD,GGR_NGDP,GGXCNL_NGDP,GGXONLB_NGDP,GGXWDG_NGDP,GGX_NGDP,LP,NGDP,NGDPD,NGDPDPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_RPCH,PCPI,PCPIPCH,PPPGDP,PPPPC,PPPSH,TM_RPCH,TX_RPCH
Timor-Leste,-0.308,-16.193,47.817,-21.487,-21.397,11.473,69.304,1.318,1.595,1.902,1442.73,1587.86,3925.95,107.744,1.902,-8.574,101.333,0.488,5.46,4140.95,0.004,0.0,0.0
Togo,-0.021,-0.274,16.238,-6.875,-4.579,60.28,23.113,8.285,4359.85,7.586,915.625,507149.92,2106.38,103.768,4359.85,1.758,106.008,1.831,18.406,2221.74,0.014,5.806,-6.661
Tonga,-0.019,-3.955,44.203,5.378,6.113,43.62,38.825,0.1,1.12,0.49,4891.95,10302.29,5919.19,108.462,1.12,0.489,100.208,0.423,0.626,6243.35,--,-3.218,-4.288
Trinidad and Tobago,-1.356,-6.341,22.767,-11.574,-8.179,59.273,34.341,1.399,144.422,21.393,15285.94,102325.65,24768.68,100.851,148.65,-7.374,125.419,0.599,36.562,26125.12,0.028,-6.177,-25.076
Tunisia,-2.506,-5.895,25.462,-9.052,-5.929,82.849,34.515,11.903,119.566,42.516,3571.83,7401.6,10240.73,135.713,119.566,-8.735,132.02,5.635,128.572,10801.56,0.097,-15.005,-10.958
Turkmenistan,-1.758,-3.305,11.442,-0.135,0.0,13.122,11.577,6.061,186.153,53.187,8775.33,17656.89,15603.27,173.947,186.153,-2.954,542.36,7.583,99.75,16457.78,0.075,8.177,-11.722
Tuvalu,-0.004,-7.868,122.155,7.732,2.49,7.292,114.422,0.011,0.08,0.055,5105.93,6229.5,4739.16,118.715,0.08,1.006,167.62,1.57,0.054,4998.7,--,0.0,0.0
Türkiye,-35.537,-4.935,28.854,-5.122,-3.217,39.651,33.976,83.614,5048.22,720.11,8612.31,21582.52,28878.96,279.742,5048.22,1.94,469.591,12.279,2546.92,30460.5,1.916,6.789,-14.214
Uganda,-3.551,-9.465,13.916,-7.469,-5.223,46.319,21.385,41.222,141555.0,37.519,910.16,3060098.69,2443.28,112.217,141555.0,-1.388,110.58,2.758,106.233,2577.08,0.08,-2.547,-12.327
Ukraine,5.172,3.307,39.682,-5.918,-3.024,60.565,45.6,41.403,4222.03,156.418,3777.89,60618.67,12517.38,168.22,4222.03,-3.753,90264859.78,2.74,546.644,13202.88,0.411,-3.308,11.188
