Country,BCA,BCA_NGDPD,GGR_NGDP,GGXCNL_NGDP,GGXONLB_NGDP,GGXWDG_NGDP,GGX_NGDP,LP,NGDP,NGDPD,NGDPDPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_RPCH,PCPI,PCPIPCH,PPPGDP,PPPPC,PPPSH,TM_RPCH,TX_RPCH
Cyprus,-2.485,-10.071,39.316,-5.757,-3.753,114.961,45.072,0.888,21.618,24.672,27783.76,23942.88,39200.72,101.677,21.618,-4.984,99.674,-1.098,36.717,41347.53,0.028,-2.548,-5.106
Czech Republic,4.898,1.991,41.452,-5.766,-5.169,37.646,47.219,10.694,5709.13,245.975,23001.31,468730.84,38802.15,113.896,5709.13,-5.503,111.767,3.161,437.672,40927.12,0.329,-8.196,-8.031
Côte d'Ivoire,-1.974,-3.214,14.979,-5.567,-3.687,47.583,20.546,26.958,35311.38,61.437,2279.02,1338535.45,5069.55,97.859,35311.38,1.951,106.352,2.415,144.148,5347.18,0.108,10.41,-1.864
Democratic Republic of the Congo,-1.095,-2.248,8.952,-1.426,-1.183,16.487,10.377,90.794,90181.05,48.707,536.45,141862.93,1067.75,700.146,90181.05,1.735,5764.77,11.358,102.254,1126.22,0.077,1.066,6.258
Denmark,28.5,8.023,53.751,0.215,-0.108,42.205,53.536,5.823,2323.92,355.223,61005.84,357098.51,55762.47,111.765,2323.92,-1.994,102.875,0.333,342.473,58816.26,0.258,-3.552,-6.307
Djibouti,0.36,11.317,23.451,-1.731,-1.563,43.994,25.183,0.988,565.343,3.181,3219.7,534816.61,5245.41,106.992,565.343,1.202,110.385,1.786,5.466,5532.68,0.004,-29.352,-29.615
Dominica,-0.148,-29.26,60.127,-7.813,-5.654,114.526,67.94,0.073,1.361,0.504,6872.22,14172.28,10063.56,130.925,1.405,-16.605,104.504,-0.727,0.779,10614.69,0.001,-37.014,-51.734
Dominican Republic,-1.337,-1.694,14.187,-7.905,-4.665,71.494,22.092,10.448,4456.66,78.923,7553.51,234492.47,17652.97,181.897,4456.66,-6.72,100.752,3.781,194.548,18619.73,0.146,-11.558,-31.625
Ecuador,2.693,2.713,29.414,-7.125,-4.315,60.893,36.539,17.511,99.291,99.291,5670.33,3785.22,10403.08,149.802,99.291,-7.788,105.129,-0.339,192.141,10972.8,0.145,-14.858,0.847
Egypt,-11.167,-2.919,18.227,-7.469,1.188,85.312,25.696,100.6,6152.54,382.521,3802.4,41683.1,12751.3,146.722,6152.54,3.485,105.692,5.7,1353.03,13449.61,1.018,0.202,-3.961
El Salvador,0.203,0.826,24.873,-8.215,-3.813,89.402,33.089,6.486,24.563,24.563,3786.96,3602.6,8020.7,105.117,24.563,-8.175,112.027,-0.37,54.873,8459.95,0.041,-8.349,-21.043
Equatorial Guinea,-0.419,-4.151,14.102,-1.735,-0.424,48.382,15.837,1.406,5812.93,10.099,7181.47,3464154.5,17174.4,119.324,5812.93,-4.241,145.078,4.798,25.475,18114.95,0.019,-10.829,3.871
Eritrea,0.309,14.617,31.107,-4.355,-2.767,179.656,35.462,3.546,31.841,2.112,595.657,9578.12,1727.57,93.75,31.841,-0.531,264.753,5.639,6.461,1822.18,0.005,-0.294,-5.738
Estonia,-0.079,-0.252,39.364,-5.468,-5.473,18.56,44.832,1.33,27.465,31.345,23576.36,18132.37,35969.41,113.928,27.465,-0.551,109.795,-0.634,50.441,37939.25,0.038,0.433,-5.272
Eswatini,0.266,6.67,28.91,-4.541,-2.377,41.398,33.451,1.127,65.588,3.984,3535.09,37434.29,8685.71,155.476,66.722,-1.56,348.925,3.872,10.324,9161.38,0.008,-1.334,-2.401
Ethiopia,-4.444,-4.6,11.705,-2.764,-2.365,53.697,14.469,97.175,3374.35,96.611,994.197,20473.65,2756.87,169.606,3374.35,6.057,175.618,20.354,282.569,2907.85,0.213,-4.546,-8.058
Fiji,-0.569,-12.704,23.347,-7.997,-4.741,63.085,31.344,0.9,9.71,4.477,4976.2,9844.34,11219.56,109.63,10.598,-17.001,120.107,-2.595,10.647,11834.0,0.008,0.0,0.0
Finland,1.75,0.644,51.598,-5.511,-5.392,68.988,57.109,5.525,237.987,271.61,49157.63,40628.8,47478.47,106.014,237.987,-2.227,103.976,0.383,276.699,50078.6,0.208,-5.831,-6.755
France,-47.359,-1.797,52.545,-8.876,-7.68,114.651,61.421,65.284,2309.7,2636.02,40377.53,32928.9,43865.12,107.441,2309.7,-7.902,105.498,0.526,3020.54,46267.36,2.272,-13.033,-16.975
Gabon,-1.058,-6.897,17.615,-2.192,1.176,78.282,19.807,2.108,8816.14,15.339,7277.37,2676001.82,15118.63,156.304,8816.14,-1.864,139.456,1.341,33.612,15946.6,0.025,-0.753,18.871
Georgia,-1.979,-12.49,25.213,-9.255,-7.693,60.19,34.468,3.717,49.267,15.846,4263.13,10108.88,13988.18,131.12,49.267,-6.76,140.564,5.202,54.84,14754.23,0.041,-17.073,-36.494
Germany,272.471,7.011,46.075,-4.333,-3.901,67.953,50.408,83.161,3405.43,3886.56,46735.31,37541.04,52138.1,109.08,3405.43,-3.692,105.842,0.371,4573.31,54993.41,3.44,-9.122,-10.052
Ghana,-2.134,-3.048,13.047,-15.29,-9.014,79.063,28.337,30.779,391.941,70.008,2274.57,5398.46,5503.25,235.886,391.941,0.514,257.758,9.885,178.659,5804.63,0.134,-6.375,-7.318
Greece,-13.84,-7.335,48.984,-10.94,-7.946,212.449,59.923,10.719,165.326,188.684,17603.44,15587.67,26979.07,98.952,165.326,-9.019,119.943,-1.262,305.013,28456.56,0.229,-7.66,-26.281
Grenada,-0.22,-21.043,28.137,1.206,3.19,71.411,26.932,0.113,2.817,1.043,9273.2,19083.09,14480.44,131.203,2.817,-13.757,111.093,-0.742,1.719,15273.45,0.001,-11.722,-62.901
Guatemala,3.832,4.937,10.688,-4.915,-3.192,31.516,15.604,17.974,599.401,77.625,4318.64,28161.42,7869.28,118.416,599.401,-1.764,144.761,3.214,149.191,8300.24,0.112,-5.691,-7.689
Guinea,-1.929,-13.605,13.907,-3.117,-2.369,47.492,17.024,13.967,135611.6,14.178,1015.06,5067121.58,2462.0,191.612,135611.6,4.92,2055.08,10.602,36.271,2596.83,0.027,100.593,3.456
Guinea-Bissau,-0.041,-2.669,15.397,-9.638,-8.125,76.514,25.034,1.815,875.167,1.523,838.847,455831.5,2323.32,105.77,875.167,1.5,106.251,1.463,4.448,2450.55,0.003,-5.339,-13.785
